,dt,sstlat,tid,clat,clon,psmin,rp,dp,zp,exppr
1778,0007-11-16 00:00:00,10.5,2453353,11.610645,54.0,1002.6840761648001,138494.11764705883,1192.2214532871972,6000.0,1.0755294117647058
1779,0007-11-17 00:00:00,10.0,2453891,-9.700021,54.957254,,,,,
1780,0007-11-19 00:00:00,10.0,2454793,14.86786,240.0,1004.7568756649,138494.11764705883,1129.6055363321798,9898.305084745763,1.0755294117647058
1781,0007-11-20 00:00:00,10.5,2455310,-8.285094,109.707308,,,,,
1782,0007-11-20 00:00:00,10.5,2455312,-9.196546,272.792709,,,,,
1783,0007-11-21 00:00:00,10.5,2455767,13.662796,355.292698,1005.8458312682,218790.31141868513,1213.0934256055364,6000.0,1.0755294117647058
1784,0007-11-21 00:00:00,10.5,2455832,-13.262137,266.0427,,,,,
1785,0007-11-21 00:00:00,10.5,2455834,-10.117247,259.292695,,,,,
1786,0007-11-23 00:00:00,10.0,2456782,-11.050497,336.75,,,,,
1787,0007-11-23 00:00:00,10.0,2456785,13.836142,123.75,1010.8538288468001,99670.58823529413,767.5570934256054,6000.0,1.0755294117647058
1788,0007-11-24 00:00:00,10.0,2457309,-16.465764,335.457221,,,,,
1789,0007-11-24 00:00:00,10.0,2457313,7.0743,340.5,1011.3338460817,150917.64705882352,572.484429065744,10067.796610169491,1.0755294117647058
1790,0007-11-24 00:00:00,10.0,2457378,16.361262,327.0,1011.7427285732999,125552.94117647059,809.3010380622837,10237.28813559322,1.0755294117647058
1791,0007-11-24 00:00:00,10.0,2457444,-12.947164,237.75,,,,,
1792,0007-11-25 00:00:00,10.0,2457887,-14.717128,321.542606,,,,,
1793,0007-11-25 00:00:00,10.0,2457889,18.200504,325.5,1016.111262352,125552.94117647059,788.4290657439446,7525.423728813559,1.0755294117647058
1794,0007-11-25 00:00:00,10.0,2457959,-15.329331,231.542598,,,,,
1795,0007-11-27 00:00:00,10.0,2458882,13.994783,68.457248,1006.1829167162999,268971.62629757787,892.7889273356401,7016.949152542373,1.0755294117647058
1796,0007-11-28 00:00:00,10.0,2459397,-7.161955,37.5,,,,,
1797,0007-11-28 00:00:00,10.0,2459399,8.565512,222.0,999.4292495446,80395.84775086505,1658.6297577854673,6000.0,1.0755294117647058
1798,0007-11-29 00:00:00,10.0,2459955,-14.973664,259.70727,,,,,
