,dt,sstlat,sstval,tid,clat,clon,psamb,dp [hPa],rmw_target,rmw_final,rp
578,0007-09-28 00:00:00,12.0,308.51,4041660,21.805543,170.66033075522373,101950.18506139203,509.86851211072667,,,254447.05882352943
579,0007-10-01 00:00:00,11.5,308.53,4045481,18.422263,311.4020247610308,101939.0531491504,426.38062283737025,,,164376.47058823527
580,0007-10-02 00:00:00,11.5,308.53,4046482,18.129467,164.5567694977369,101803.43467464557,509.86851211072667,,,150917.64705882352
581,0007-10-03 00:00:00,11.5,308.5,4048051,18.129467,164.5567694977369,101535.4963922153,830.1730103806228,,,73270.58823529411
582,0007-10-04 00:00:00,12.0,308.48,4050600,22.349937,293.80219976912224,101764.87006939178,955.4048442906574,,,215623.52941176473
583,0007-10-06 00:00:00,11.5,308.43,4052622,17.371074,125.23063865473016,101885.9796303248,572.484429065744,,,306729.4117647059
584,0007-10-07 00:00:00,11.5,308.45,4053588,15.188361,228.95752598427597,101514.26006376193,1018.0207612456747,,,293788.2352941177
585,0007-10-13 00:00:00,10.5,308.33,4059138,11.418562,241.17620850085618,101550.72025915826,1108.7335640138408,,,306729.4117647059
586,0007-10-14 00:00:00,10.5,308.34,4060049,12.810437,282.8301712015127,101366.99183690605,1470.7820069204151,,,99670.58823529413
587,0007-10-15 00:00:00,10.0,308.32,4061384,14.862177,344.38000480950296,101756.19873961971,830.1730103806228,,,203200.0
588,0007-10-16 00:00:00,10.0,308.32,4063318,14.425437,3.9526290472836556,101723.07350718138,530.7404844290659,,,86211.76470588235
589,0007-10-17 00:00:00,10.5,308.33,4064299,20.946204,74.82004799644025,101947.56857403825,934.5328719723184,,,151435.29411764705
590,0007-10-18 00:00:00,10.5,308.33,4065401,21.98915,305.051126879916,102328.41217166788,830.1730103806228,,,73270.58823529411
591,0007-10-19 00:00:00,11.0,308.32,4067323,6.667649,324.2093401913108,101493.96231418464,1811.9584775086505,,,211391.0034602076
592,0007-10-20 00:00:00,11.0,308.29,4068643,9.848087,53.075411993751835,101435.22185300502,655.9723183391004,,,306729.4117647059
593,0007-10-22 00:00:00,11.0,308.26,4070610,7.114749,141.27591527533318,101902.61073268439,614.2283737024222,,,156459.51557093425
594,0007-10-24 00:00:00,10.5,308.24,4075465,17.273371,173.29225171369552,101721.35274628828,976.2768166089966,,,107861.59169550173
595,0007-10-25 00:00:00,10.0,308.29,4077661,14.388814,77.28782178536845,101675.92606861556,788.4290657439446,,,86211.76470588235
596,0007-10-26 00:00:00,10.0,308.32,4078963,21.002867,198.22238039535085,102083.36645788605,1087.8615916955016,,,73270.58823529411
597,0007-10-27 00:00:00,10.0,308.31,4080341,17.619811,104.05932746891628,101569.25499179799,788.4290657439446,,,241505.8823529412
598,0007-10-28 00:00:00,10.0,308.29,4081589,14.194039,258.34189912782693,101380.27735675503,830.1730103806228,,,306729.4117647059
599,0007-10-29 00:00:00,10.5,308.19,4082843,15.433743,21.962006810130614,101785.12737599119,976.2768166089966,,,216141.17647058822
600,0007-10-30 00:00:00,10.0,308.17,4084878,12.557682,221.17360360962815,101352.63745796814,2153.1349480968856,,,306729.4117647059
